Month,fecha,Cost,Trend,serie sin trend,mes,estacionalidad,residual,,
1993 dic.,01/12/1993,0.96308051,0.585943351,0.377137159,12,0.256721032,0.120416127,,
1994 ene.,01/01/1994,0.81932534,0.588630518,0.230694822,1,0.218185463,0.012509359,,
1994 feb.,01/02/1994,0.4376698,0.606698267,-0.169028467,2,-0.261100488,0.092072021,,
1994 mar.,01/03/1994,0.50612127,0.608784137,-0.102662867,3,-0.185860893,0.083198025,,
1994 abr.,01/04/1994,0.47049117,0.614813795,-0.144322625,4,-0.204138036,0.059815411,,
1994 may.,01/05/1994,0.51069626,0.61908549,-0.10838923,5,-0.140391539,0.032002308,,
1994 jun.,01/06/1994,0.54051379,0.623047377,-0.082533587,6,-0.099265684,0.016732096,,
1994 jul.,01/07/1994,0.55811892,0.626515549,-0.068396629,7,-0.007362959,-0.06103367,,
1994 ago.,01/08/1994,0.67285206,0.629328185,0.043523875,8,0.039088256,0.00443562,,
1994 sep.,01/09/1994,0.68589738,0.635385714,0.050511666,9,0.085975912,-0.035464246,,
1994 oct.,01/10/1994,0.68969198,0.639404177,0.050287803,10,0.135904285,-0.085616483,,
1994 nov.,01/11/1994,0.74130358,0.644456248,0.096847332,11,0.147941387,-0.051094055,,
1994 dic.,01/12/1994,0.81330763,0.637974899,0.175332731,12,0.256721032,-0.081388301,,
1995 ene.,01/01/1995,0.80311257,0.642641321,0.160471249,1,0.218185463,-0.057714214,,
1995 feb.,01/02/1995,0.47525824,0.664363327,-0.189105087,2,-0.261100488,0.071995401,,
1995 mar.,01/03/1995,0.5525723,0.665347691,-0.112775391,3,-0.185860893,0.073085501,,
1995 abr.,01/04/1995,0.52710782,0.669210681,-0.142102861,4,-0.204138036,0.062035175,,
1995 may.,01/05/1995,0.56124982,0.672131351,-0.110881531,5,-0.140391539,0.029510008,,
1995 jun.,01/06/1995,0.58897764,0.675366726,-0.086389086,6,-0.099265684,0.012876598,,
1995 jul.,01/07/1995,0.62313362,0.67693498,-0.05380136,7,-0.007362959,-0.046438401,,
1995 ago.,01/08/1995,0.74083723,0.678452649,0.062384581,8,0.039088256,0.023296326,,
1995 sep.,01/09/1995,0.72537176,0.679913717,0.045458043,9,0.085975912,-0.040517869,,
1995 oct.,01/10/1995,0.81580302,0.682289009,0.133514011,10,0.135904285,-0.002390274,,
1995 nov.,01/11/1995,0.81400947,0.685052119,0.128957351,11,0.147941387,-0.018984036,,
1995 dic.,01/12/1995,0.92665305,0.683975367,0.242677683,12,0.256721032,-0.014043349,,
1996 ene.,01/01/1996,0.93727594,0.691278708,0.245997232,1,0.218185463,0.027811769,,
1996 feb.,01/02/1996,0.52876165,0.707434156,-0.178672506,2,-0.261100488,0.082427983,,
1996 mar.,01/03/1996,0.55933994,0.70357547,-0.14423553,3,-0.185860893,0.041625363,,
1996 abr.,01/04/1996,0.57787166,0.701756572,-0.123884912,4,-0.204138036,0.080253124,,
1996 may.,01/05/1996,0.61492741,0.700313475,-0.085386065,5,-0.140391539,0.055005474,,
1996 jun.,01/06/1996,0.59418877,0.699155163,-0.104966393,6,-0.099265684,-0.00570071,,
1996 jul.,01/07/1996,0.70775844,0.697652415,0.010106025,7,-0.007362959,0.017468985,,
1996 ago.,01/08/1996,0.71950195,0.694549942,0.024952008,8,0.039088256,-0.014136248,,
1996 sep.,01/09/1996,0.74432369,0.692490024,0.051833666,9,0.085975912,-0.034142246,,
1996 oct.,01/10/1996,0.80485511,0.690194045,0.114661065,10,0.135904285,-0.02124322,,
1996 nov.,01/11/1996,0.78854235,0.689572926,0.098969424,11,0.147941387,-0.048971963,,
1996 dic.,01/12/1996,0.9710894,0.682784616,0.288304784,12,0.256721032,0.031583752,,
1997 ene.,01/01/1997,0.84683354,0.685267807,0.161565733,1,0.218185463,-0.05661973,,
1997 feb.,01/02/1997,0.46382252,0.69708445,-0.23326193,2,-0.261100488,0.027838558,,
1997 mar.,01/03/1997,0.48527317,0.694093897,-0.208820727,3,-0.185860893,-0.022959834,,
1997 abr.,01/04/1997,0.5280586,0.691769389,-0.163710789,4,-0.204138036,0.040427247,,
1997 may.,01/05/1997,0.56233647,0.688366001,-0.126029531,5,-0.140391539,0.014362008,,
1997 jun.,01/06/1997,0.5885704,0.686535643,-0.097965243,6,-0.099265684,0.001300441,,
1997 jul.,01/07/1997,0.66948036,0.681996826,-0.012516466,7,-0.007362959,-0.005153506,,
1997 ago.,01/08/1997,0.67799365,0.680333497,-0.002339847,8,0.039088256,-0.041428102,,
1997 sep.,01/09/1997,0.76299549,0.677453134,0.085542356,9,0.085975912,-0.000433556,,
1997 oct.,01/10/1997,0.79972374,0.677019983,0.122703757,10,0.135904285,-0.013200529,,
1997 nov.,01/11/1997,0.77052192,0.676849616,0.093672304,11,0.147941387,-0.054269083,,
1997 dic.,01/12/1997,0.99438934,0.669976542,0.324412798,12,0.256721032,0.067691766,,
1998 ene.,01/01/1998,0.80054443,0.675667793,0.124876637,1,0.218185463,-0.093308825,,
1998 feb.,01/02/1998,0.49055721,0.694331226,-0.203774016,2,-0.261100488,0.057326473,,
1998 mar.,01/03/1998,0.52440799,0.695523521,-0.171115531,3,-0.185860893,0.014745361,,
1998 abr.,01/04/1998,0.53664948,0.700955577,-0.164306097,4,-0.204138036,0.039831939,,
1998 may.,01/05/1998,0.55209054,0.701461661,-0.149371121,5,-0.140391539,-0.008979582,,
1998 jun.,01/06/1998,0.60336564,0.703664619,-0.100298979,6,-0.099265684,-0.001033295,,
1998 jul.,01/07/1998,0.68124538,0.705159902,-0.023914522,7,-0.007362959,-0.016551563,,
1998 ago.,01/08/1998,0.67807535,0.709188363,-0.031113013,8,0.039088256,-0.070201268,,
1998 sep.,01/09/1998,0.79489265,0.712805336,0.082087314,9,0.085975912,-0.003888598,,
1998 oct.,01/10/1998,0.7846239,0.716849038,0.067774862,10,0.135904285,-0.068129424,,
1998 nov.,01/11/1998,0.8130087,0.72238721,0.09062149,11,0.147941387,-0.057319897,,
1998 dic.,01/12/1998,0.9777323,0.720339008,0.257393292,12,0.256721032,0.00067226,,
1999 ene.,01/01/1999,0.89308148,0.731215653,0.161865827,1,0.218185463,-0.056319636,,
1999 feb.,01/02/1999,0.51269597,0.752046021,-0.239350051,2,-0.261100488,0.021750437,,
1999 mar.,01/03/1999,0.65299589,0.754171392,-0.101175502,3,-0.185860893,0.084685391,,
1999 abr.,01/04/1999,0.5739764,0.757730407,-0.183754007,4,-0.204138036,0.020384029,,
1999 may.,01/05/1999,0.63923842,0.760639329,-0.121400909,5,-0.140391539,0.01899063,,
1999 jun.,01/06/1999,0.70387188,0.76332818,-0.0594563,6,-0.099265684,0.039809384,,
1999 jul.,01/07/1999,0.77064824,0.765296648,0.005351592,7,-0.007362959,0.012714551,,
1999 ago.,01/08/1999,0.84618588,0.77302663,0.07315925,8,0.039088256,0.034070994,,
1999 sep.,01/09/1999,0.89272889,0.776117571,0.116611319,9,0.085975912,0.030635407,,
1999 oct.,01/10/1999,0.89789988,0.777883873,0.120016007,10,0.135904285,-0.015888278,,
1999 nov.,01/11/1999,0.94728069,0.784075713,0.163204977,11,0.147941387,0.015263591,,
1999 dic.,01/12/1999,1.05070727,0.782374133,0.268333137,12,0.256721032,0.011612105,,
2000 ene.,01/01/2000,0.96965567,0.787589043,0.182066627,1,0.218185463,-0.036118836,,
2000 feb.,01/02/2000,0.57329151,0.810680755,-0.237389245,2,-0.261100488,0.023711243,,
2000 mar.,01/03/2000,0.61850684,0.804491684,-0.185984844,3,-0.185860893,-0.000123951,,
2000 abr.,01/04/2000,0.61899573,0.808778319,-0.189782589,4,-0.204138036,0.014355447,,
2000 may.,01/05/2000,0.66520922,0.809179695,-0.143970475,5,-0.140391539,-0.003578936,,
2000 jun.,01/06/2000,0.72652015,0.809190252,-0.082670102,6,-0.099265684,0.016595582,,
2000 jul.,01/07/2000,0.85586494,0.806093839,0.049771101,7,-0.007362959,0.05713406,,
2000 ago.,01/08/2000,0.86598429,0.806343404,0.059640886,8,0.039088256,0.020552631,,
2000 sep.,01/09/2000,0.82524883,0.806994548,0.018254282,9,0.085975912,-0.06772163,,
2000 oct.,01/10/2000,0.95542102,0.8056704,0.14975062,10,0.135904285,0.013846335,,
2000 nov.,01/11/2000,0.93859596,0.809018753,0.129577207,11,0.147941387,-0.018364179,,
2000 dic.,01/12/2000,1.01302442,0.811578881,0.201445539,12,0.256721032,-0.055275493,,
2001 ene.,01/01/2001,1.04380535,0.813433557,0.230371793,1,0.218185463,0.01218633,,
2001 feb.,01/02/2001,0.51064725,0.83832817,-0.32768092,2,-0.261100488,-0.066580432,,
2001 mar.,01/03/2001,0.67256901,0.836461977,-0.163892967,3,-0.185860893,0.021967926,,
2001 abr.,01/04/2001,0.64847006,0.83742584,-0.18895578,4,-0.204138036,0.015182256,,
2001 may.,01/05/2001,0.70411469,0.83806292,-0.13394823,5,-0.140391539,0.006443308,,
2001 jun.,01/06/2001,0.69943075,0.839863714,-0.140432964,6,-0.099265684,-0.04116728,,
2001 jul.,01/07/2001,0.85192587,0.835352017,0.016573853,7,-0.007362959,0.023936812,,
2001 ago.,01/08/2001,0.9077052,0.837616334,0.070088866,8,0.039088256,0.03100061,,
2001 sep.,01/09/2001,0.86744447,0.841925843,0.025518627,9,0.085975912,-0.060457285,,
2001 oct.,01/10/2001,1.02429281,0.844437871,0.179854939,10,0.135904285,0.043950653,,
2001 nov.,01/11/2001,1.10959022,0.848280486,0.261309734,11,0.147941387,0.113368348,,
2001 dic.,01/12/2001,1.01231323,0.848009683,0.164303547,12,0.256721032,-0.092417486,,
2002 ene.,01/01/2002,1.14586761,0.850573611,0.295293999,1,0.218185463,0.077108536,,
2002 feb.,01/02/2002,0.57558438,0.87524742,-0.29966304,2,-0.261100488,-0.038562552,,
2002 mar.,01/03/2002,0.64116459,0.871148602,-0.229984012,3,-0.185860893,-0.04412312,,
2002 abr.,01/04/2002,0.67986207,0.870925266,-0.191063196,4,-0.204138036,0.01307484,,
2002 may.,01/05/2002,0.7679384,0.869153642,-0.101215242,5,-0.140391539,0.039176297,,
2002 jun.,01/06/2002,0.75209591,0.87137474,-0.11927883,6,-0.099265684,-0.020013146,,
2002 jul.,01/07/2002,0.91806359,0.869149513,0.048914077,7,-0.007362959,0.056277037,,
2002 ago.,01/08/2002,0.92436753,0.869525853,0.054841677,8,0.039088256,0.015753421,,
2002 sep.,01/09/2002,1.01319767,0.87167552,0.14152215,9,0.085975912,0.055546237,,
2002 oct.,01/10/2002,1.02697609,0.874300134,0.152675956,10,0.135904285,0.01677167,,
2002 nov.,01/11/2002,1.00679597,0.876085265,0.130710705,11,0.147941387,-0.017230682,,
2002 dic.,01/12/2002,1.10277568,0.877760264,0.225015416,12,0.256721032,-0.031705616,,
2003 ene.,01/01/2003,1.07814487,0.881124043,0.197020827,1,0.218185463,-0.021164636,,
2003 feb.,01/02/2003,0.57829619,0.905234514,-0.326938324,2,-0.261100488,-0.065837836,,
2003 mar.,01/03/2003,0.64333332,0.906400779,-0.263067459,3,-0.185860893,-0.077206566,,
2003 abr.,01/04/2003,0.66336735,0.909407397,-0.246040047,4,-0.204138036,-0.04190201,,
2003 may.,01/05/2003,0.750516,0.908192076,-0.157676076,5,-0.140391539,-0.017284537,,
2003 jun.,01/06/2003,0.80074564,0.910063063,-0.109317423,6,-0.099265684,-0.01005174,,
2003 jul.,01/07/2003,0.91636103,0.907399552,0.008961478,7,-0.007362959,0.016324438,,
2003 ago.,01/08/2003,0.91688682,0.910757188,0.006129632,8,0.039088256,-0.032958624,,
2003 sep.,01/09/2003,1.08465893,0.909960087,0.174698843,9,0.085975912,0.088722931,,
2003 oct.,01/10/2003,1.15064822,0.914632083,0.236016137,10,0.135904285,0.100111852,,
2003 nov.,01/11/2003,1.05083821,0.922206649,0.128631561,11,0.147941387,-0.019309826,,
2003 dic.,01/12/2003,1.22323454,0.927131054,0.296103486,12,0.256721032,0.039382454,,
2004 ene.,01/01/2004,1.13012521,0.934917712,0.195207498,1,0.218185463,-0.022977965,,
2004 feb.,01/02/2004,0.66798867,0.960673965,-0.292685295,2,-0.261100488,-0.031584807,,
2004 mar.,01/03/2004,0.74901428,0.958687255,-0.209672975,3,-0.185860893,-0.023812083,,
2004 abr.,01/04/2004,0.73998602,0.958218675,-0.218232655,4,-0.204138036,-0.014094619,,
2004 may.,01/05/2004,0.79512863,0.954739936,-0.159611306,5,-0.140391539,-0.019219767,,
2004 jun.,01/06/2004,0.85680282,0.950153082,-0.093350262,6,-0.099265684,0.005915422,,
2004 jul.,01/07/2004,1.00159317,0.946931428,0.054661742,7,-0.007362959,0.062024701,,
2004 ago.,01/08/2004,0.99486433,0.945081393,0.049782937,8,0.039088256,0.010694682,,
2004 sep.,01/09/2004,1.134432,0.941683048,0.192748952,9,0.085975912,0.10677304,,
2004 oct.,01/10/2004,1.181011,0.939252082,0.241758918,10,0.135904285,0.105854633,,
2004 nov.,01/11/2004,1.216037,0.938217507,0.277819493,11,0.147941387,0.129878106,,
2004 dic.,01/12/2004,1.257238,0.935000006,0.322237994,12,0.256721032,0.065516962,,
2005 ene.,01/01/2005,1.17069,0.936329866,0.234360134,1,0.218185463,0.016174671,,
2005 feb.,01/02/2005,0.597639,0.960795185,-0.363156185,2,-0.261100488,-0.102055697,,
2005 mar.,01/03/2005,0.65259,0.953756955,-0.301166955,3,-0.185860893,-0.115306063,,
2005 abr.,01/04/2005,0.670505,0.952320998,-0.281815998,4,-0.204138036,-0.077677962,,
2005 may.,01/05/2005,0.695248,0.945560666,-0.250312666,5,-0.140391539,-0.109921127,,
2005 jun.,01/06/2005,0.842263,0.943412935,-0.101149935,6,-0.099265684,-0.001884251,,
2005 jul.,01/07/2005,0.874336,0.934559753,-0.060223753,7,-0.007362959,-0.052860794,,
2005 ago.,01/08/2005,1.006497,0.92975313,0.07674387,8,0.039088256,0.037655614,,
2005 sep.,01/09/2005,1.094736,0.92606687,0.16866913,9,0.085975912,0.082693218,,
2005 oct.,01/10/2005,1.027043,0.918010261,0.109032739,10,0.135904285,-0.026871546,,
2005 nov.,01/11/2005,1.149232,0.915932696,0.233299304,11,0.147941387,0.085357918,,
2005 dic.,01/12/2005,1.160712,0.909445739,0.251266261,12,0.256721032,-0.005454771,,
2006 ene.,01/01/2006,1.230691,0.90724413,0.32344687,1,0.218185463,0.105261407,,
2006 feb.,01/02/2006,0.587135,0.934447609,-0.347312609,2,-0.261100488,-0.08621212,,
2006 mar.,01/03/2006,0.706959,0.932063391,-0.225104391,3,-0.185860893,-0.039243499,,
2006 abr.,01/04/2006,0.639641,0.933537,-0.293896,4,-0.204138036,-0.089757964,,
2006 may.,01/05/2006,0.807405,0.927733174,-0.120328174,5,-0.140391539,0.020063365,,
2006 jun.,01/06/2006,0.79797,0.923515565,-0.125545565,6,-0.099265684,-0.026279881,,
2006 jul.,01/07/2006,0.884312,0.92193287,-0.03762087,7,-0.007362959,-0.03025791,,
2006 ago.,01/08/2006,1.049648,0.919656652,0.129991348,8,0.039088256,0.090903092,,
2006 sep.,01/09/2006,0.995709,0.918938543,0.076770457,9,0.085975912,-0.009205455,,
2006 oct.,01/10/2006,1.168253,0.922588048,0.245664952,10,0.135904285,0.109760667,,
2006 nov.,01/11/2006,1.108038,0.920881402,0.187156598,11,0.147941387,0.039215211,,
2006 dic.,01/12/2006,1.120053,0.92100411,0.19904889,12,0.256721032,-0.057672142,,
2007 ene.,01/01/2007,1.223319,0.91865185,0.30466715,1,0.218185463,0.086481688,,
2007 feb.,01/02/2007,0.597753,0.946165154,-0.348412154,2,-0.261100488,-0.087311666,,
2007 mar.,01/03/2007,0.704398,0.948550502,-0.244152502,3,-0.185860893,-0.058291609,,
2007 abr.,01/04/2007,0.56176,0.948976328,-0.387216328,4,-0.204138036,-0.183078292,,
2007 may.,01/05/2007,0.745258,0.94986685,-0.20460885,5,-0.140391539,-0.064217311,,
2007 jun.,01/06/2007,0.837934,0.95066185,-0.11272785,6,-0.099265684,-0.013462166,,
2007 jul.,01/07/2007,0.954144,0.945349893,0.008794107,7,-0.007362959,0.016157066,,
2007 ago.,01/08/2007,1.07821949,,,,,,,
2007 sep.,01/09/2007,1.11098161,,,,,,,
2007 oct.,01/10/2007,1.10997914,,,,,,,
2007 nov.,01/11/2007,1.1635343,,,,,,,
2007 dic.,01/12/2007,1.176589,,,,,,,
2008 ene.,01/01/2008,1.219941,,,,,,,
2008 feb.,01/02/2008,0.761822,,,,,,,
2008 mar.,01/03/2008,0.649435,,,,,,,
2008 abr.,01/04/2008,0.827887,,,,,,,
2008 may.,01/05/2008,0.816255,,,,,,,
2008 jun.,01/06/2008,0.762137,,,,,,,
